GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
teste-de-unidade,br.com.caelum.leilao.infra.dao,LeilaoDao,280,0,10,0,71,0,13,0,8,0
teste-de-unidade,br.com.caelum.leilao.infra.dao,LeilaoDaoFalso,62,0,8,0,15,0,10,0,6,0
teste-de-unidade,br.com.caelum.leilao.dominio,Leilao,10,97,0,12,4,22,3,16,3,10
teste-de-unidade,br.com.caelum.leilao.dominio,Usuario,45,45,9,7,13,15,10,4,3,3
teste-de-unidade,br.com.caelum.leilao.dominio,Lance,52,51,8,8,14,17,9,6,3,4
teste-de-unidade,br.com.caelum.leilao.dominio,Pagamento,15,0,0,0,6,0,3,0,3,0
teste-de-unidade,br.com.caelum.leilao.servico,Avaliador,0,94,1,9,0,18,1,10,0,6
teste-de-unidade,br.com.caelum.leilao.servico,EncerradorDeLeilao,1,72,2,6,0,20,2,7,0,5
teste-de-unidade,br.com.caelum.leilao.servico,Avaliador.new Comparator() {...},4,20,2,2,1,3,2,2,0,2
